customer_id,customer_name,latitude,longitude,total_pallets_unrounded,total_pallets_rounded,total_orders,address,city_borough,pallets_per_order,day_of_week
CUST_163,Customer 055,40.69727256961082,-73.83017688116573,9.92,10,1,,,9.92,All Days
CUST_0,Customer 001,40.82393494763585,-73.90903906592717,9.23,10,1,,,9.23,All Days
CUST_161,Customer 087,40.66150707860249,-73.87346498223229,8.79,9,1,,,8.79,All Days
CUST_4,Customer 003,40.86555164559,-73.88702973397817,8.09,9,1,,,8.09,All Days
CUST_31,Customer 018,40.84244084625383,-73.84558973540135,7.12,8,1,,,7.12,All Days
CUST_164,Customer 089,40.830728643622344,-73.89126472129591,6.8,7,1,,,6.8,All Days
CUST_165,Customer 090,40.66953057344241,-73.7824756165742,6.08,7,1,,,6.08,All Days
CUST_162,Customer 088,40.85920015425595,-73.90056567901365,5.3,6,1,,,5.3,All Days
CUST_7,Customer 005,40.69747391202919,-73.82905390354207,4.71,5,1,,,4.71,All Days
CUST_6,Customer 004,40.818676515899384,-73.93757229044701,4.59,5,1,,,4.59,All Days
CUST_170,Customer 095,40.68727132626413,-73.82300862324279,4.45,5,1,,,4.45,All Days
CUST_168,Customer 093,40.692614111895054,-73.84437929166077,4.28,5,1,,,4.28,All Days
CUST_167,Customer 092,40.63740290973405,-73.92010562279191,4.21,5,1,,,4.21,All Days
CUST_169,Customer 094,40.69384632036886,-73.84342565090739,4.17,5,1,,,4.17,All Days
CUST_50,Customer 026,40.67610829631914,-73.8554831376963,3.95,4,1,,,3.95,All Days
CUST_5,Customer 004,40.81882756334608,-73.93725056647254,3.77,4,1,,,3.77,All Days
CUST_153,Customer 083,40.63287188101084,-74.16028394578468,3.68,4,1,,,3.68,All Days
CUST_99,Customer 055,40.69661296220641,-73.82879015350318,3.65,4,1,,,3.65,All Days
CUST_10,Customer 007,40.63116428754058,-73.96665280296365,3.55,4,1,,,3.55,All Days
CUST_49,Customer 026,40.67584687606802,-73.85557337127459,3.52,4,1,,,3.52,All Days
CUST_11,Customer 007,40.63085989357774,-73.96581885251673,3.31,4,1,,,3.31,All Days
CUST_136,Customer 042,40.631804694976246,-73.96603316118015,2.88,3,1,,,2.88,All Days
CUST_113,Customer 063,40.689007393638555,-73.9173641706466,2.71,3,1,,,2.71,All Days
CUST_114,Customer 064,40.67139788117989,-73.9340888408256,2.7,3,1,,,2.7,All Days
CUST_57,Customer 030,40.637992846105625,-73.97247388820607,2.62,3,1,,,2.62,All Days
CUST_101,Customer 005,40.69723771572417,-73.82918343929929,2.59,3,1,,,2.59,All Days
CUST_61,Customer 031,40.85679006382985,-73.89503635569079,2.58,3,1,,,2.58,All Days
CUST_56,Customer 030,40.63878496266752,-73.97263862633669,2.56,3,1,,,2.56,All Days
CUST_29,Customer 017,40.68918573963909,-73.95966142657014,2.5,3,1,,,2.5,All Days
CUST_135,Customer 074,40.87692234490686,-73.86760979419346,2.4,3,1,,,2.4,All Days
CUST_134,Customer 074,40.87654063424415,-73.86675762676278,2.26,3,1,,,2.26,All Days
CUST_97,Customer 053,40.7618627220245,-73.88916852512102,2.1,3,1,,,2.1,All Days
CUST_112,Customer 062,40.689239848977614,-73.91777406506378,2.09,3,1,,,2.09,All Days
CUST_95,Customer 052,40.84586642009279,-73.89820757611032,2.01,3,1,,,2.01,All Days
CUST_13,Customer 008,40.81796549189475,-73.90384785758009,1.99,2,1,,,1.99,All Days
CUST_146,Customer 079,40.65810331471186,-73.92965364650398,1.99,2,1,,,1.99,All Days
CUST_60,Customer 031,40.85734534786821,-73.89474039555732,1.95,2,1,,,1.95,All Days
CUST_19,Customer 011,40.652082455862505,-73.92481650340132,1.92,2,1,,,1.92,All Days
CUST_137,Customer 075,40.70710965261643,-73.94500754484459,1.82,2,1,,,1.82,All Days
CUST_55,Customer 029,40.853619797063494,-73.90831990645347,1.81,2,1,,,1.81,All Days
CUST_144,Customer 079,40.65822719611959,-73.92944076589842,1.81,2,1,,,1.81,All Days
CUST_44,Customer 023,40.76000258662734,-73.88103061029791,1.79,2,1,,,1.79,All Days
CUST_156,Customer 085,40.675999376443905,-73.87854314932424,1.78,2,1,,,1.78,All Days
CUST_32,Customer 001,40.82357190443156,-73.9097112619628,1.78,2,1,,,1.78,All Days
CUST_80,Customer 042,40.63208584532311,-73.96647452968952,1.72,2,1,,,1.72,All Days
CUST_123,Customer 068,40.63036297971589,-74.08136228889674,1.62,2,1,,,1.62,All Days
CUST_66,Customer 034,40.768896755175966,-73.95610818925888,1.59,2,1,,,1.59,All Days
CUST_35,Customer 019,40.77950848801042,-73.98357079296137,1.57,2,1,,,1.57,All Days
CUST_151,Customer 082,40.869718152184745,-73.87892875884225,1.51,2,1,,,1.51,All Days
CUST_2,Customer 002,40.70595191172637,-73.75457110312014,1.51,2,1,,,1.51,All Days
CUST_20,Customer 011,40.65190513689861,-73.92462686838988,1.5,2,1,,,1.5,All Days
CUST_23,Customer 011,40.65198990246223,-73.92442431831802,1.46,2,1,,,1.46,All Days
CUST_149,Customer 081,40.68024236564245,-73.93137158188019,1.43,2,1,,,1.43,All Days
CUST_39,Customer 021,40.68076367491383,-73.94604227900798,1.39,2,1,,,1.39,All Days
CUST_58,Customer 011,40.651931509395595,-73.92555430450281,1.39,2,1,,,1.39,All Days
CUST_141,Customer 077,40.68010726771517,-73.91396093950846,1.37,2,1,,,1.37,All Days
CUST_38,Customer 021,40.68093339365346,-73.94670663597643,1.34,2,1,,,1.34,All Days
CUST_133,Customer 073,40.64993319904839,-73.9625346952932,1.26,2,1,,,1.26,All Days
CUST_85,Customer 046,40.773204917119784,-73.95678092820883,1.25,2,1,,,1.25,All Days
CUST_84,Customer 045,40.635609853145134,-74.1332469318903,1.25,2,1,,,1.25,All Days
CUST_118,Customer 060,40.67731118783068,-73.88684086044034,1.22,2,1,,,1.22,All Days
CUST_138,Customer 075,40.70761681591104,-73.94455689715912,1.22,2,1,,,1.22,All Days
CUST_30,Customer 018,40.84297611177931,-73.84592385676613,1.1,2,1,,,1.1,All Days
CUST_126,Customer 069,40.68898321631116,-73.8038092081815,1.08,2,1,,,1.08,All Days
CUST_127,Customer 070,40.67439672491399,-73.9226282137167,1.07,2,1,,,1.07,All Days
CUST_100,Customer 005,40.696431072898946,-73.82887012896393,1.03,2,1,,,1.03,All Days
